proper,ra (decimal hours),declination (decimal degrees),source
268 G. Cet,2.601357,6.88687,HYG Subset
3C 273,12.485193,2.052398,HYG Subset
82 G. Eri,3.331944,-43.069784,HYG Subset
96 G. Psc,0.806382,5.280615,HYG Subset
Acamar,2.971023,-40.304672,HYG Subset
Achernar,1.628556,-57.236757,HYG Subset
Acrux,12.443311,-63.099092,HYG Subset
Adhara,6.977097,-28.972084,HYG Subset
Albaldah,19.162731,-21.023615,HYG Subset
Albireo,19.512023,27.959681,HYG Subset
Alcor,13.420413,54.987958,HYG Subset
Alcyone,3.79141,24.105137,HYG Subset
Aldebaran,4.598677,16.509301,HYG Subset
Alderamin,21.30963,62.585573,HYG Subset
Algenib,0.220598,15.183596,HYG Subset
Algieba,10.332873,19.841489,HYG Subset
Algol,3.136148,40.955648,HYG Subset
Algorab,12.497739,-16.515432,HYG Subset
Alhena,6.628528,16.399252,HYG Subset
Alioth,12.900472,55.959821,HYG Subset
Alkaid,13.792354,49.313265,HYG Subset
Almaak,2.064984,42.329725,HYG Subset
Alnair,22.137209,-46.960975,HYG Subset
Alnath,5.438198,28.60745,HYG Subset
Alnilam,5.603559,-1.20192,HYG Subset
Alnitak,5.679313,-1.942572,HYG Subset
Alphard,9.45979,-8.658603,HYG Subset
Alphekka,15.578128,26.714693,HYG Subset
Alpheratz,0.139791,29.090432,HYG Subset
Alshain,19.921887,6.406763,HYG Subset
Altair,19.846388,8.868322,HYG Subset
Aludra,7.401584,-29.303104,HYG Subset
Ankaa,0.438056,-42.305981,HYG Subset
Antares,16.490128,-26.432002,HYG Subset
Arcturus,14.26103,19.18241,HYG Subset
Arneb,5.545504,-17.822289,HYG Subset
Atria,16.811077,-69.027715,HYG Subset
Avior,8.375236,-59.509483,HYG Subset
Babcock's star,22.735418,55.589226,HYG Subset
Barnard's Star,17.963472,4.693388,HYG Subset
Becrux,12.795359,-59.688764,HYG Subset
Bellatrix,5.418851,6.349702,HYG Subset
Betelgeuse,5.919529,7.407063,HYG Subset
Campbell's Hydrogen Star,19.579231,30.516371,HYG Subset
Canopus,6.399195,-52.69566,HYG Subset
Capella,5.27815,45.997991,HYG Subset
Caph,0.152887,59.14978,HYG Subset
Castor,7.576634,31.888276,HYG Subset
Cebalrai,17.724543,4.567303,HYG Subset
Cih,0.945143,60.71674,HYG Subset
Cor Caroli,12.933807,38.31838,HYG Subset
Cursa,5.130829,-5.086446,HYG Subset
Cygnus X-1,19.972688,35.201604,HYG Subset
Deneb,20.690532,45.280338,HYG Subset
Denebola,11.817663,14.57206,HYG Subset
Diphda,0.72649,-17.986605,HYG Subset
Dschubba,16.005557,-22.62171,HYG Subset
Dubhe,11.062155,61.751033,HYG Subset
Enif,21.736433,9.875011,HYG Subset
Etamin,17.943437,51.488895,HYG Subset
Fomalhaut,22.960838,-29.622236,HYG Subset
Gacrux,12.519429,-57.113212,HYG Subset
Gienah,20.770178,33.970256,HYG Subset
Gienah Ghurab,12.263437,-17.541929,HYG Subset
Gomeisa,7.452512,8.289315,HYG Subset
Graffias,16.09062,-19.805453,HYG Subset
Groombridge 1830,11.88282,37.718679,HYG Subset
Hadar,14.063729,-60.373039,HYG Subset
Hamal,2.119555,23.462423,HYG Subset
Hassaleh,4.949894,33.16609,HYG Subset
Hatsya,5.590551,-5.909901,HYG Subset
Izar,14.749784,27.074222,HYG Subset
Kapteyn's Star,5.194169,-45.018417,HYG Subset
Kaus Australis,18.402868,-34.384616,HYG Subset
Kaus Borealis,18.466179,-25.4217,HYG Subset
Kaus Meridionalis,18.3499,-29.828103,HYG Subset
Kochab,14.845105,74.155505,HYG Subset
Kornephoros,16.503668,21.489613,HYG Subset
Kraz,12.573121,-23.396759,HYG Subset
Kruger 60,22.466642,57.695875,HYG Subset
Lacaille 8760,21.287725,-38.867362,HYG Subset
Lacaille 9352,23.097531,-35.853073,HYG Subset
Lalande 21185,11.055632,35.969877,HYG Subset
Luyten's Star,7.456805,5.225785,HYG Subset
Markab,23.079348,15.205264,HYG Subset
Matar,22.716704,30.221245,HYG Subset
Megrez,12.257086,57.032617,HYG Subset
Menkalinan,5.992149,44.947433,HYG Subset
Menkar,3.037992,4.089734,HYG Subset
Menkent,14.111395,-36.369954,HYG Subset
Merak,11.030677,56.382427,HYG Subset
Miaplacidus,9.220041,-69.717208,HYG Subset
Mintaka,5.533445,-0.299092,HYG Subset
Mira,2.322442,-2.977643,HYG Subset
Mirach,1.162194,35.620558,HYG Subset
Mirphak,3.405378,49.86118,HYG Subset
Mirzam,6.378329,-17.955918,HYG Subset
Mizar,13.398747,54.925362,HYG Subset
Mufrid,13.911411,18.397717,HYG Subset
Naos,8.059737,-40.003148,HYG Subset
Nash,18.096803,-30.424091,HYG Subset
Nihal,5.470756,-20.759441,HYG Subset
Nunki,18.92109,-26.296722,HYG Subset
p Eridani,1.663003,-56.19462,HYG Subset
Peacock,20.427459,-56.73509,HYG Subset
Phad,11.897168,53.69476,HYG Subset
Phakt,5.660817,-34.074108,HYG Subset
Polaris,2.52975,89.264109,HYG Subset
Pollux,7.755277,28.026199,HYG Subset
Porrima,12.694345,-1.449375,HYG Subset
Procyon,7.655033,5.224993,HYG Subset
Proxima Centauri,14.495985,-62.679485,HYG Subset
Ras Elased Australis,9.764188,23.774255,HYG Subset
Rasalgethi,17.244127,14.390333,HYG Subset
Rasalhague,17.582241,12.560035,HYG Subset
Rastaban,17.507213,52.301387,HYG Subset
Red Rectangle,6.332838,-10.637414,HYG Subset
Regulus,10.139532,11.967207,HYG Subset
Rigel,5.242298,-8.20164,HYG Subset
Rigil Kentaurus,14.660765,-60.833976,HYG Subset
Ruchbah,1.430216,60.235283,HYG Subset
Sadalmelik,22.096399,-0.319851,HYG Subset
Sadalsuud,21.525982,-5.571172,HYG Subset
Sadr,20.370473,40.256679,HYG Subset
Saiph,5.795941,-9.669605,HYG Subset
Sargas,17.62198,-42.997824,HYG Subset
Scheat,23.062901,28.082789,HYG Subset
Shaula,17.560145,-37.103821,HYG Subset
Shedir,0.675116,56.537331,HYG Subset
Sheliak,18.834665,33.362667,HYG Subset
Sheratan,1.910668,20.808035,HYG Subset
Sirius,6.752481,-16.716116,HYG Subset
Spica,13.419883,-11.161322,HYG Subset
Tarazed,19.770994,10.613261,HYG Subset
Thuban,14.073165,64.37585,HYG Subset
Tureis,9.284838,-59.275229,HYG Subset
Unukalhai,15.737798,6.425627,HYG Subset
Van Maanen's Star,0.819416,5.38861,HYG Subset
Vega,18.61564,38.783692,HYG Subset
Vindemiatrix,13.036278,10.95915,HYG Subset
Wezen,7.139857,-26.3932,HYG Subset
Zaurak,3.967157,-13.508515,HYG Subset
Zosma,11.235138,20.523717,HYG Subset
Zubenelgenubi,14.847977,-16.041778,HYG Subset
Zubeneschemali,15.283449,-9.382917,HYG Subset
Sun,Star,,
Moon,Moon,,
Mercury,Planet,,
Venus,Planet,,
Earth,Planet,,
Mars,Planet,,
Jupiter,Planet,,
Saturn,Planet,,
Uranus,Planet,,
Neptune,Planet,,
Pluto,Planet,,
