Full name	RA decimal	Declination decimal	Type	Constellation	RAHour	RAMinute	DecSign	DecHr	DecMinute	Magnitude	Info	Distance (ly)	M number
M1	83.625	22.02	Supernova Remnant	Taurus	5	34.5	1	22	1	8.4	Size: 6.0x4.0	6300	M1
M2	323.375	-0.82	Globular Cluster	Aquarius	21	33.5	-1	0	49	6.5	Size: 12.9	37500	M2
M3	205.55	28.38	Globular Cluster	Canes Venatici	13	42.2	1	28	23	6.2	Size: 16.2	33900	M3
M4	245.9	-26.53	Globular Cluster	Scorpius	16	23.6	-1	26	32	5.6	Size: 26.3	7200	M4
M5	229.65	2.08	Globular Cluster	Serpens Caput	15	18.6	1	2	5	5.6	Size: 17.4	24500	M5
M6	265.025	-32.22	Open Cluster	Scorpius	17	40.1	-1	32	13	5.3	Size: 25	2000	M6
M7	268.475	-34.82	Open Cluster	Scorpius	17	53.9	-1	34	49	4.1	Size: 80	800	M7
M8	270.95	-24.38	Diffuse Nebula	Sagittarius	18	3.8	-1	24	23	6	Size: 90x40	5200	M8
M9	259.8	-18.52	Globular Cluster	Ophiucus	17	19.2	-1	18	31	7.7	Size: 9.3	26700	M9
M10	254.275	-4.10	Globular Cluster	Ophiucus	16	57.1	-1	4	6	6.6	Size: 15.1	14400	M10
M11	282.775	-6.27	Open Cluster	Scutum	18	51.1	-1	6	16	6.3	Size: 14	6000	M11
M12	251.8	-1.95	Globular Cluster	Ophiucus	16	47.2	-1	1	57	6.7	Size: 14.5	16000	M12
M13	250.425	36.47	Globular Cluster	Hercules	16	41.7	1	36	28	5.8	Size: 16.6	22800	M13
M14	264.4	-3.25	Globular Cluster	Ophiucus	17	37.6	-1	3	15	7.6	Size: 11.7	27400	M14
M15	322.5	12.17	Globular Cluster	Pegasus	21	30	1	12	10	6.2	Size: 12.3	33600	M15
M16	274.7	-13.78	Open Cluster	Serpens Claudia	18	18.8	-1	13	47	6.4	Size: 7	7000	M16
M17	275.2	-16.18	Diffuse Nebula	Sagittarius	18	20.8	-1	16	11	7	Size: 11	5000	M17
M18	274.975	-17.13	Open Cluster	Sagittarius	18	19.9	-1	17	8	7.5	Size: 9	4900	M18
M19	255.65	-26.27	Globular Cluster	Ophiucus	17	2.6	-1	26	16	6.8	Size: 13.5	27100	M19
M20	270.575	-23.03	Diffuse Nebula	Sagittarius	18	2.3	-1	23	2	9	Size: 28	5200	M20
M21	271.15	-22.50	Open Cluster	Sagittarius	18	4.6	-1	22	30	6.5	Size: 13	4250	M21
M22	279.1	-23.90	Globular Cluster	Sagittarius	18	36.4	-1	23	54	5.1	Size: 24	10100	M22
M23	269.2	-19.02	Open Cluster	Sagittarius	17	56.8	-1	19	1	6.9	Size: 27	2150	M23
M24	274.6	-18.42	Star Cloud	Sagittarius	18	18.4	-1	18	25	4.6	Size: 90	10000	M24
M25	277.925	-19.23	Open Cluster	Sagittarius	18	31.7	-1	19	14	6.5	Size: 40	2000	M25
M26	281.3	-9.40	Open Cluster	Scutum	18	45.2	-1	9	24	8	Size: 15	5000	M26
M27	299.9	22.72	Planetary Nebula	Vulpecula	19	59.6	1	22	43	7.4	Size: 8.0x5.7	1250	M27
M28	276.125	-24.87	Globular Cluster	Sagittarius	18	24.5	-1	24	52	6.8	Size: 11.2	17900	M28
M29	305.975	38.53	Open Cluster	Cygnus	20	23.9	1	38	32	7.1	Size: 7	4000	M29
M30	325.1	-23.18	Globular Cluster	Capricornus	21	40.4	-1	23	11	7.2	Size: 11	24800	M30
M31	10.675	41.27	Spiral Galaxy	Andromeda	0	42.7	1	41	16	3.4	Size: 178x63	2900000	M31
M32	10.675	40.87	Elliptical Galaxy	Andromeda	0	42.7	1	40	52	8.1	Size: 8x6	2900000	M32
M33	23.475	30.65	Spiral Galaxy	Triangulum	1	33.9	1	30	39	5.7	Size: 73x45	3000000	M33
M34	40.5	42.78	Open Cluster	Perseus	2	42	1	42	47	5.5	Size: 35	1400	M34
M35	92.225	24.33	Open Cluster	Gemini	6	8.9	1	24	20	5.3	Size: 28	2800	M35
M36	84.025	34.13	Open Cluster	Auriga	5	36.1	1	34	8	6.3	Size: 12	4100	M36
M37	88.1	32.55	Open Cluster	Auriga	5	52.4	1	32	33	6.2	Size: 24	4400	M37
M38	82.175	35.83	Open Cluster	Auriga	5	28.7	1	35	50	7.4	Size: 21	4200	M38
M39	323.05	48.43	Open Cluster	Cygnus	21	32.2	1	48	26	5.2	Size: 32	825	M39
M40	185.55	58.08	Double Star	Ursa Major	12	22.2	1	58	5	9 & 9.3	Sep: 49 arcsec	510	M40
M41	101.75	-20.73	Open Cluster	Canis Major	6	47	-1	20	44	4.6	Size: 38	2300	M41
M42	83.85	-5.45	Diffuse Nebula	Orion	5	35.4	-1	5	27	4	Size: 85x60	1600	M42
M43	83.9	-5.27	Diffuse Nebula	Orion	5	35.6	-1	5	16	9	Size: 20x15	1600	M43
M44	130.025	19.98	Open Cluster	Cancer	8	40.1	1	19	59	3.7	Size: 95	577	M44
M45	56.75	24.12	Open Cluster	Taurus	3	47	1	24	7.2	1.6	Size: 110	380	M45
M46	115.45	-14.82	Open Cluster	Puppis	7	41.8	-1	14	49	6	Size: 27	5400	M46
M47	114.15	-14.50	Open Cluster	Puppis	7	36.6	-1	14	30	5.2	Size: 30	1600	M47
M48	123.45	-5.80	Open Cluster	Hydra	8	13.8	-1	5	48	5.5	Size: 54	1500	M48
M49	187.45	8.00	Elliptical Galaxy	Virgo	12	29.8	1	8	0	8.4	Size: 9x7.5	60000000	M49
M50	105.8	-8.33	Open Cluster	Monocerus	7	3.2	-1	8	20	6.3	Size: 16	3000	M50
M51	202.475	47.20	Spiral Galaxy	Canes Venatici	13	29.9	1	47	12	8.4	Size: 11x7	37000000	M51
M52	351.05	61.58	Open Cluster	Cassiopeia	23	24.2	1	61	35	7.3	Size: 13	5000	M52
M53	198.225	18.17	Globular Cluster	Coma Berenices	13	12.9	1	18	10	7.6	Size: 12.6	56400	M53
M54	283.775	-30.48	Globular Cluster	Sagittarius	18	55.1	-1	30	29	7.6	Size: 9.1	82800	M54
M55	295	-30.97	Globular Cluster	Sagittarius	19	40	-1	30	58	6.3	Size: 19	16600	M55
M56	289.15	30.18	Globular Cluster	Lyra	19	16.6	1	30	11	8.3	Size: 7.1	31600	M56
M57	283.4	33.03	Planetary Nebula	Lyra	18	53.6	1	33	2	8.8	Size: 1.4x1	4100	M57
M58	189.425	11.82	Spiral Galaxy	Virgo	12	37.7	1	11	49	9.7	Size: 5.5x4.5	60000000	M58
M59	190.5	11.65	Elliptical Galaxy	Virgo	12	42	1	11	39	9.6	Size: 5x3.5	60000000	M59
M60	190.925	11.55	Elliptical Galaxy	Virgo	12	43.7	1	11	33	8.8	Size: 7x6	60000000	M60
