Name	RADeg	DecDeg	RAHour	RAMinute	RASecond	DecSign	DecDeg	DecMinute	DecSecond	Type	Constellation	Magnitude	Info
UGC 57	1.83	27.72	0	7.3		1	27	43		Galaxy	Peg	13	Size: 1.9  F, S, R, bet *11 and *14
UGC 59	1.83	27.68	0	7.3		1	27	41		Galaxy	Peg	15	Size: 1.4  vF, S, s of 1
UGC 58	1.83	8.28	0	7.3		1	8	17		Galaxy	Psc	14	F, vS, R, alm stell
	1.85	8.37	0	7.4		1	8	22		Galaxy	Psc		eF
UGC 62	1.95	35.35	0	7.8		1	35	21		Galaxy	And	14	vF, vS, N = *13, 14
NGC 20	2.08	32.50	0	8.3		1	32	30			And		eF, vS, cE; = 7831?
ESO 409-22	2.10	-29.92	0	8.4		-1	29	55		Galaxy	Scl		Size: 2.5  eF, cL, mE, vgvlbM
	2.20	23.83	0	8.8		1	23	50		Double Star	Peg		vF, N in n end
UGC 78	2.23	23.82	0	8.9		1	23	49		Galaxy	Peg	15	Size: 1.5  F, R, *9, 10 sf
ESO 349-32	2.15	-33.87	0	8.6		-1	33	52		Galaxy	Scl		Size: 2.7  F, cL, vlE, glbM
UGC 73	2.18	37.43	0	8.7		1	37	26		Galaxy	And	14	vF, vS, vlE, 2 vF st inv
UGC 74	2.18	4.62	0	8.7		1	4	37		Galaxy	Psc	15	Size: 1.9  eF, pL, vglbM
UGC 77	2.20	33.43	0	8.8		1	33	26		Galaxy	And	14	Size: 2.7  vF, vS, S st + neb
UGC 75	2.20	15.82	0	8.8		1	15	49		Galaxy	Peg	12	Size: 3.0  vF, pS, R, glbM
UGC 82	2.28	21.60	0	9.1		1	21	36		Galaxy	Peg	15	vF, vS, R, bM
UGC 80	2.28	27.73	0	9.1		1	27	44		Galaxy	Peg	12	Size: 2.1  pB, S, R, bM
NGC 34	2.75	-12.10	0	11		-1	12	6			Cet		vF, eS, iR, D* 2' p; = 34
	2.35	27.72	0	9.4		1	27	43		Double Star	Peg		F, vS, iR, mbM, 16 p 19s
UGC 98	2.35	32.83	0	9.4		1	32	50			And		eeF, lE, 3 vF st around
NGC 6	2.38	33.32	0	9.5		1	33	19		Galaxy	And	15	Size: 2.0  F, *10 att
NGC 29	2.68	32.98	0	10.7		1	32	59		Galaxy	And	14	Size: 1.4  eF, S, lE
UGC 80	2.45	27.83	0	9.8		1	27	50		Galaxy	Peg	15	vF, pS, R, lbM, r
UGC 89	2.48	25.92	0	9.9		1	25	55		Galaxy	Peg	12	Size: 2.3  3 S st + neb
ESO 472-16	2.48	-24.97	0	9.9		-1	24	58		Galaxy	Scl	11.5	Size: 5.5  vF, cL, mE, gbM
ESO 149-19	2.48	-57.05	0	9.9		-1	57	3		Galaxy	Phe		vF, S, R
UGC 94	2.60	25.83	0	10.4		1	25	50		Galaxy	Peg	14	Size: 2.2  vF, pL, R, 2 F st n
UGC 96	2.63	29.00	0	10.5		1	29	0		Galaxy	And	14	eF, vS, E, B* nr
AM 0007-571	2.58	-57.02	0	10.3		-1	57	1		Galaxy	Phe		eF, p of 2
NGC 21	2.70	33.35	0	10.8		1	33	21		Galaxy	And	14	Size: 1.8  pB, pL, E 0deg
	2.70	21.95	0	10.8		1	21	57		Double Star	Peg		neb *13
ESO 149-20	2.63	-57.00	0	10.5		-1	57	0		Galaxy	Phe		eeF, S, R, f of 2
	2.73	18.78	0	10.9		1	18	47		Asterism	Peg		F
	2.73	3.67	0	10.9		1	3	40		Double Star	Psc		eF, vS, or neb st
NGC 17	2.78	-12.10	0	11.1		-1	12	6		Galaxy	Cet	13	pF, S, R, 2 st nr
MCG 2-1-33	2.80	-12.00	0	11.2		-1	12	0		Galaxy	Cet	14	eeF, pS, R
UGC 106	2.85	6.38	0	11.4		1	6	23		Galaxy	Psc	15	Size: 2.4  vF, pS, iF
ESO 149-22	2.83	-56.97	0	11.3		-1	56	58		Galaxy	Phe		eF, S, R
MCG 1-1-47	2.98	-5.60	0	11.9		-1	5	36		Galaxy	Psc	13	F, S, R, mbM
UGC 114	3.08	31.05	0	12.3		1	31	3		Galaxy	And	14	vF, pS, R
PK 120+9.1	3.25	72.53	0	13		1	72	32		Planetary Nebula	Cep	11	Size: 0.6  F, vS, R, vsmbM, *12 sp
MCG 4-1-39	3.20	22.03	0	12.8		1	22	2		Galaxy	Peg	14	pF, S, lE, gbM
UGC 118	3.23	22.10	0	12.9		1	22	6		Galaxy	Peg	15	F, vS, stell
UGC 120	3.25	30.90	0	13		1	30	54		Galaxy	And	14	"eF, *12 np 45"""
	3.28	31.28	0	13.1		1	31	17			And		eF, vS
A 4	3.53	-23.18	0	14.1		-1	23	11		Galaxy	Cet	10.4	Size: 8.1  eF, L, vgvlbM, *9 cont s
	3.53	5.98	0	14.1		1	5	59		Star	Psc		nebula
NGC 58	3.63	-7.18	0	14.5		-1	7	11		Galaxy	Cet	13	vF, vS
UGC 133	3.50	48.23	0	14		1	48	14		Galaxy	And	15	Size: 1.7  eeF, pL, R, v diffic
UGC 136	3.58	48.23	0	14.3		1	48	14		Galaxy	And	15	eeF, S, R, 2nd of 3
MCG 1-1-58	3.68	-7.33	0	14.7		-1	7	20		Galaxy	Cet		vF
UGC 138	3.65	48.25	0	14.6		1	48	15		Galaxy	And	15	Size: 1.8  pF, pS, R, bM
UGC 140	3.65	18.55	0	14.6		1	18	33		Galaxy	Peg	14	vF, S, E
ESO 111-20	3.68	-60.33	0	14.7		-1	60	20		Galaxy	Tuc		Size: 2.1  eF, S, R, bM
MCG 1-1-60	3.78	-7.13	0	15.1		-1	7	8		Galaxy	Cet	14	vF, pS, R, 50 sp
Dunlop 507	3.73	-39.18	0	14.9		-1	39	11		Galaxy	Scl	8	Size: 32.4  vB, vL, vmE, triN
	3.85	12.43	0	15.4		1	12	26			Psc		eF, eL, diff
UGC 145	3.85	17.30	0	15.4		1	17	18		Galaxy	Psc	13	F, S, R, sbM
NGC 47	3.63	-7.17	0	14.5		-1	7	10			Cet		vF, pS, R; = 47
ESO 539-4	3.88	-21.45	0	15.5		-1	21	27		Galaxy	Cet	13	vF, pS, iR, gbM
UGC 150	4.00	-0.30	0	16		-1	0	18		Galaxy	Psc	15	eF, vS, R, lbM
	4.13	-6.23	0	16.5		-1	6	14		Galaxy	Psc	15	vF, S, iR, psvlbM
MCG 2-1-43	4.28	-13.47	0	17.1		-1	13	28		Galaxy	Cet	14	F, vS, R, glbM
UGC 167	4.43	11.45	0	17.7		1	11	27		Galaxy	Psc	13	Size: 1.9  pF, S, R, sbM
MCG 1-1-68	4.38	-6.85	0	17.5		-1	6	51		Galaxy	Cet	14	eeF, vS, R, v diffic
ESO 473-10A	4.78	-22.90	0	19.1		-1	22	54		Galaxy	Cet	15	eF, vS, R, gbM, p of 2
ESO 473-10	4.80	-22.95	0	19.2		-1	22	57		Galaxy	Cet	14	eF, pS, E 225deg , *9 n 1', f of 2
V V 166	4.55	30.07	0	18.2		1	30	4		Galaxy	And	16	Size: 0.4  eF, vS, R
UGC 170	4.58	30.07	0	18.3		1	30	4		Galaxy	And	13	Size: 1.5  eF, L, 3 or 4 st + neb
MCG 5-1-66	4.58	30.03	0	18.3		1	30	2		Galaxy	And	14.8	Size: 0.4  eF, vS, R
UGC 174;IC 1539	4.60	30.08	0	18.4		1	30	5		Galaxy	And	15	Size: 1.7  eF, vS, R, bet 2 F st
UGC 173;V V 166	4.60	30.07	0	18.4		1	30	4		Galaxy	And	13	Size: 1.8  eF, vS, R
UGC 176;V V 166	4.63	30.03	0	18.5		1	30	2		Galaxy	And	13.4	Size: 1.4  eF, vS, R
MCG 3-1-26	4.70	-15.35	0	18.8		-1	15	21		Galaxy	Cet	13	vF, S, R, eF D* close f
MCG 5-1-71	4.73	30.05	0	18.9		1	30	3		Galaxy	And	16	eF, S, E, last of 6
UGC 182	4.88	6.42	0	19.5		1	6	25		Galaxy	Psc	15	vF, vS, R
UGC 185	4.90	29.93	0	19.6		1	29	56		Galaxy	And	14	vF, S, bM
ESO 473-15	5.00	-22.52	0	20		-1	22	31			Cet		eF, vS, iF (*?), *9 p 3'
	5.10	0.82	0	20.4		1	0	49		Galaxy	Psc	14	vF, S, R
MCG 4-2-3	5.25	22.57	0	21		1	22	34		Galaxy	And	15	vF, S, vlbM
UGC 203	5.30	22.35	0	21.2		1	22	21		Galaxy	And	12.1	Size: 2.5  F, S, R, psbM
NPM1G +22.0016	5.30	22.37	0	21.2		1	22	22		Galaxy	And		eeF, sp 83
	5.35	22.43	0	21.4		1	22	26		Galaxy	And	14	Size: 1.3  eF, stellar
UGC 206	5.35	22.43	0	21.4		1	22	26		Galaxy	And	12.6	Size: 1.6  E, biN, 3 B st nr
	5.38	22.60	0	21.5		1	22	36		Galaxy	And	17	eF, st & neb
	5.35	22.50	0	21.4		1	22	30		Galaxy	And	15	eeF, cL, R
MCG 4-2-9	5.38	22.55	0	21.5		1	22	33		Galaxy	And	15	eF, vS, lbM
ESO 194-8	5.30	-48.63	0	21.2		-1	48	38		Galaxy	Phe		eF, S, R, gbM, 1st of 4
ESO 194-10	5.33	-48.65	0	21.3		-1	48	39		Galaxy	Phe		eF, vS, R, 2nd of 4
ESO 194-11	5.33	-48.68	0	21.3		-1	48	41		Galaxy	Phe		vF, S, R, gbM, 3rd of 4
UGC 208	5.48	22.42	0	21.9		1	22	25		Star	And		vF, lE
	5.45	22.42	0	21.8		1	22	25		Galaxy	And	15	Size: 2.5  vF, vS, *13 sp
ESO 194-12	5.38	-48.63	0	21.5		-1	48	38		Galaxy	Phe		F, S, R, gbM, 4th of 4
UGC 209	5.50	22.42	0	22		1	22	25		Galaxy	And	14	vF, vS
ZWG 479. 17	5.55	22.47	0	22.2		1	22	28		Galaxy	And	15	eF, vS
UGC 214	5.55	10.50	0	22.2		1	10	30		Galaxy	Psc	12.6	Size: 1.9  F, pL, R, gbM
MCG 4-2-14	5.58	22.55	0	22.3		1	22	33		Galaxy	And	17	vF, S, vlbM
UGC 216	5.60	29.73	0	22.4		1	29	44		Galaxy	And	13	F, vS, R, gbM
ESO 242-5	5.70	-45.27	0	22.8		-1	45	16		Galaxy	Phe		Size: 1.8  vF, pS, R, bM, r
UGC 230	6.00	15.78	0	24		1	15	47		Galaxy	Psc	14	Size: 1.7  vF, pL, R, gbM
UGC 231	6.00	16.48	0	24		1	16	29		Galaxy	Psc		Size: 5.8  vF, pS, mE, 2' long
ESO 350-14	5.98	-32.57	0	23.9		-1	32	34		Galaxy	Scl	13	pB, pL, lE, *14 f
MCG 2-2-11	6.10	-13.95	0	24.4		-1	13	57		Galaxy	Cet	14	eF, vS, R
OCL 291	6.33	61.35	0	25.3		1	61	21		Open Cluster	Cas	9.8	Size: 5.  Cl, pS, pC, st 11...18
47 Tucanae	6.03	-72.08	0	24.1		-1	72	5		Globular Cluster	Tuc	4	Size: 30.9  glob. cl.  !! vB, vL, vmCM
UGC 241	6.33	12.88	0	25.3		1	12	53		Galaxy	Psc	13.2	Size: 1.2  vF, S, R, vlbM
	6.18	-5.17	0	24.7		-1	5	10		Galaxy	Psc		pF, vS, R, lbM
MCG 2-2-14	6.40	-8.28	0	25.6		-1	8	17		Galaxy	Cet		F, pL, *7 sf 5'
UGC 246	6.48	29.22	0	25.9		1	29	13		Galaxy	And	13	pF, pL, R, pslbM
UGC 251	6.55	21.82	0	26.2		1	21	49		Galaxy	And	15	vF, S, 3 st nr
OCL 300	6.85	71.38	0	27.4		1	71	23		Open Cluster	Cas		Cl, pR, lC, st 9...12
	6.68	-2.63	0	26.7		-1	2	38			Cet		vF, S, R, lbM, *8.5 p 36s , n 2'; = 113?
UGC 255	6.68	31.72	0	26.7		1	31	43		Galaxy	And	14	eF, vS, R
MCG 1-2-16	6.75	-2.50	0	27		-1	2	30		Galaxy	Cet	13	vF, S, sbM
UGC 259	6.78	-1.78	0	27.1		-1	1	47		Galaxy	Cet	15	vF, S* in centre, p of 2
ESO 350-17	6.70	-33.68	0	26.8		-1	33	41		Galaxy	Scl		vF, pL, lE, D* 2' np
MCG 1-2-17	6.80	-7.70	0	27.2		-1	7	42		Galaxy	Cet	14	vF
MCG 0-2-29	6.80	1.32	0	27.2		1	1	19		Galaxy	Cet	15	F, vS
UGC 264	6.83	-1.78	0	27.3		-1	1	47		Galaxy	Cet	15	vF, S* in centre, f of 2
ESO 150-8	6.78	-56.98	0	27.1		-1	56	59		Galaxy	Phe		pB, S, R, mbM
UGC 267	6.88	-1.52	0	27.5		-1	1	31		Galaxy	Cet	15	Size: 1.8  nebulous *
ESO 50-SC12	6.70	-71.53	0	26.8		-1	71	32		Globular Cluster	Tuc	10.6	Size: 1.5  pB, pS, lE, vgbM
	6.93	-1.63	0	27.7		-1	1	38		?	Cet		1st of 2 vF neb 4'-5' np of *8.5
	6.95	-1.60	0	27.8		-1	1	36		?	Cet		2nd of 2 vF neb 4'-5' np of *8.5
UGC 271	6.98	-1.82	0	27.9		-1	1	49		Galaxy	Cet	14	Size: 1.6  vF, L, dif, 2 F st np
UGC 286	7.20	2.83	0	28.8		1	2	50		Galaxy	Psc	12.3	Size: 2.0  vF, S, bM, D* sp
MCG 0-2-49	7.28	2.82	0	29.1		1	2	49		Galaxy	Psc	16	Size: 1.4  vF, S, lE
MCG 0-2-50	7.30	2.87	0	29.2		1	2	52		Galaxy	Psc	14	Size: 1.0  vF, vS, R, p 128
UGC 292	7.30	2.85	0	29.2		1	2	51		Galaxy	Psc	11.6	Size: 3.4  pB, pS, lE 2deg , bM
OCL 294	7.48	60.23	0	29.9		1	60	14		Open Cluster	Cas	6.5	Size: 21.  Cl, vL, pR, lC, st 9...13
MCG 0-2-52	7.33	2.87	0	29.3		1	2	52		Galaxy	Psc	14.3	Size: 0.9  vF, vS, R, f 128
ESO 350-21	7.40	-33.27	0	29.6		-1	33	16		Galaxy	Scl		Size: 2.1  F, pL, pmE, vgbM, p of 2
UGC 301	7.55	2.10	0	30.2		1	2	6		Galaxy	Cet	14	Size: 2.0  pF, cL, R, vglbM, R
OCL 296	7.80	63.37	0	31.2		1	63	22		Open Cluster	Cas	9	Size: 7.  Cl, pL, st 10..., D* inv
ESO 350-23	7.60	-33.25	0	30.4		-1	33	15		Galaxy	Scl	10.1	Size: 8.1  vB, L, vmE 47deg , psbM, f of
IC 26	7.95	-13.37	0	31.8		-1	13	22			Cet		vF, vS, R
OCL 295	7.88	61.53	0	31.5		1	61	32		Open Cluster	Cas		Size: 1.  glob. cl. , vF, S, eC
UGC 309	7.78	10.18	0	31.1		1	10	11		Galaxy	Psc	14	F, iF, lbM
UGC 308	7.75	5.17	0	31		1	5	10		Galaxy	Psc	15	F, eS, sbM
ZWG 409. 22	7.75	5.08	0	31		1	5	5		Galaxy	Psc	15	eF, S
UGC 311	7.83	30.78	0	31.3		1	30	47		Galaxy	And	14	vF, S, R, gbM
ZWG 409. 27	7.85	5.18	0	31.4		1	5	11		Galaxy	Psc	15	vF, vS, iR
ESO 473-21	7.83	-22.62	0	31.3		-1	22	37		Galaxy	Cet	14	eF, S, lE, 1st of 3 and faintest
ESO 473-22	7.85	-22.57	0	31.4		-1	22	34		Galaxy	Cet	15	eF, S, mE, 2nd of 3
ESO 473-23	7.85	-22.65	0	31.4		-1	22	39		Galaxy	Cet	14	eF, pS, R, 3rd of 3 and brightest
Arp 19	7.93	-5.15	0	31.7		-1	5	9		Galaxy	Cet	12.8	Size: 1.8  F, pL, vlE, vgbM, *8-9 f 5'
OCL 299	8.28	63.30	0	33.1		1	63	18		Open Cluster	Cas	9.1	Size: 7.  Cl, pL, lC, st 11-12, D*
UGC 326;D3	8.30	48.50	0	33.2		1	48	30		Galaxy	Cas	9.3	Size: 12.9  vF, vL, iR, gsmbM *11
ESO 410-20	8.58	-31.78	0	34.3		-1	31	47		Galaxy	Scl	12.1	Size: 2.4  vB, S, lE 90deg , smbM *11
UGC 332	8.43	30.72	0	33.7		1	30	43		Galaxy	And	15	vF, vS, R, gbM *14, *12 sp
A 7	8.58	-27.80	0	34.3		-1	27	48		Galaxy	Scl	11.1	Size: 4.2  pF, pS, R
NGC 153	8.50	-9.70	0	34		-1	9	42		Galaxy	Cet	11.5	Size: 3.7  pF, pL, lE 90deg , vglbM
ESO 28-SC24	8.20	-73.15	0	32.8		-1	73	9		Globular Cluster	Tuc	12	vF, L, R, vglbM
NGC 151	8.50	-9.70	0	34		-1	9	42			Cet		pF, pS, R, * nr nf; = 151
MCG 2-2-53	8.53	-12.65	0	34.1		-1	12	39		Galaxy	Cet	14	eF, vS, R
MCG 2-2-55	8.68	-10.77	0	34.7		-1	10	46		Galaxy	Cet	13	pF, S, R
	8.65	-8.35	0	34.6		-1	8	21		Double Star	Cet		vS, np 157
MCG 2-2-56	8.70	-8.40	0	34.8		-1	8	24		Galaxy	Cet	10.4	Size: 4.3  pB, L, E, bet 2 cB st
	8.73	-8.32	0	34.9		-1	8	19		Double Star	Cet		vS, nf 157
ESO 150-11	8.65	-55.78	0	34.6		-1	55	47		Galaxy	Phe		vF, pS, R, glbM, 3 st f
UGC 356	9.03	23.95	0	36.1		1	23	57		Galaxy	And	12.4	Size: 3.2  vF, vS, stell, *8, 17deg , 4'
IC 1557	8.88	-2.83	0	35.5		-1	2	50		Galaxy	Cet	15	eF, eS, R, nearly bet 2 st; = IC 1557
	9.03	23.97	0	36.1		1	23	58		Galaxy	And		eF, stellar, 160 sp
MCG 2-2-66	9.00	-10.12	0	36		-1	10	7		Galaxy	Cet	12.8	Size: 1.4  vF, vS
MCG 0-2-89	9.13	2.75	0	36.5		1	2	45		Galaxy	Psc	16	eF
MCG 2-2-69	9.13	-10.10	0	36.5		-1	10	6		Galaxy	Cet	13.2	Size: 1.6  F, L, st in centre, f of 2
MCG 2-2-63	8.95	-13.62	0	35.8		-1	13	37		Galaxy	Cet	15	eF, S, lE, *11 np
ESO 473-29	8.83	-23.37	0	35.3		-1	23	22		Galaxy	Cet	13	vF, pS, iR
ESO 474-4	9.18	-22.60	0	36.7		-1	22	36		Galaxy	Cet	14	eF, S, E 30deg , *10 nf 3'
UGC 365;Arp 282	9.23	23.98	0	36.9		1	23	59		Galaxy	And	13	Size: 3.0  F, pL, D or biN, *6 nf 4'
MCG 0-2-91	9.18	1.85	0	36.7		1	1	51		Galaxy	Cet	15	F, S, R
NGC 175	9.35	-19.93	0	37.4		-1	19	56			Cet		vF, pL, lE, 2 pB st sf; = 175
ESO 474-5	9.33	-22.60	0	37.3		-1	22	36		Galaxy	Cet		Size: 2.6  eF, S, E, *13 close sp
UGC 369	9.30	1.93	0	37.2		1	1	56		Galaxy	Cet	15	"Size: 3.5  vF, S, R, vgbM, *11 sp 80"""
ESO 411-1	9.23	-29.48	0	36.9		-1	29	29		Galaxy	Scl	14	eF, S, vlE, am B st
NGC 171	9.35	-19.93	0	37.4		-1	19	56		Galaxy	Cet	12.1	Size: 2.6  pB, pL, E, gbM, R
ESO 29-SC2	8.95	-73.18	0	35.8		-1	73	11		Open Cluster	Tuc	12	eF, S, vlE, r, *8 nr
ESO 474-6	9.38	-22.57	0	37.5		-1	22	34		Galaxy	Cet	13	eF, S, E 175deg
IC 39	9.78	-14.17	0	39.1		-1	14	10		Galaxy	Cet	12.6	Size: 2.0  F, S, mE 0deg , bM; = IC 39
ESO 540-7	9.45	-17.88	0	37.8		-1	17	53		Galaxy	Cet	14	eF, eS, R, B* np
UGC 380	9.50	8.63	0	38		1	8	38		Galaxy	Psc	14	Size: 2.6  vF, pL, iR, * np inv
MCG 5-2-32	9.55	29.47	0	38.2		1	29	28		Galaxy	And	15	eF, eS, irr, vF* att
UGC 382	9.55	2.73	0	38.2		1	2	44		Galaxy	Psc	12.6	Size: 2.3  vF, S, iR, vgbM
UGC 387	9.58	29.50	0	38.3		1	29	30		Galaxy	And	14	pF, vS, R, gbM
ZWG 500. 59	9.63	29.43	0	38.5		1	29	26		Galaxy	And	15	eF, eS
UGC 396	9.75	48.33	0	39		1	48	20		Galaxy	Cas	9.2	Size: 11.5  pB, vL, iR, vgmbM, r
UGC 390	9.63	3.15	0	38.5		1	3	9		Galaxy	Psc	15	F, S, R, lbM
MCG 3-2-34	9.90	-14.68	0	39.6		-1	14	41		Galaxy	Cet	13	F, S, mE 150deg , bM
OCL 309	11.00	85.33	0	44		1	85	20		Open Cluster	Cep	8.1	Size: 14.  Cl, vL, R, 150-200 st 10...18
OCL 301	9.90	61.07	0	39.6		1	61	4		Open Cluster	Cas	8.8	Size: 4.  Cl, pL, R, st 11...15
UGC 397	9.73	7.03	0	38.9		1	7	2		Galaxy	Psc	14	Size: 1.0  vF, S, lE, sev st nr sp
MCG 2-2-77	9.75	-9.00	0	39		-1	9	0		Galaxy	Cet	12	Size: 1.5  pB, pL, iE 0deg
UGC 401	9.83	0.85	0	39.3		1	0	51		Galaxy	Cet	14	Size: 2.3  F, pS, pmE, bM
UGC 408	9.83	3.33	0	39.3		1	3	20		Galaxy	Psc	12.3	Size: 1.7  F, L, p of 2, *15 close sp
UGC 407	9.83	3.03	0	39.3		1	3	2		Galaxy	Psc	12.1	Size: 1.9  pB, S, R, vgbM
MCG 2-2-79	9.90	-9.20	0	39.6		-1	9	12		Galaxy	Cet		Size: 1.3  F
UGC 405	9.83	0.90	0	39.3		1	0	54		Galaxy	Cet	14	F, pS, R, psmbM
UGC 406	9.85	0.88	0	39.4		1	0	53		Galaxy	Cet	15	eF, s of 196
UGC 414	9.85	2.80	0	39.4		1	2	48		Galaxy	Psc	12.8	Size: 1.3  F, S, vgbM
UGC 415	9.90	3.12	0	39.6		1	3	7		Galaxy	Psc	15	"F, vS, *8 p 27s , 45"" s"
UGC 420	9.90	2.88	0	39.6		1	2	53		Galaxy	Psc	14	Size: 2.0  pB, S, vgbM
UGC 419	9.93	0.85	0	39.7		1	0	51		Galaxy	Cet	15	Size: 2.2  vF, cL, E, vglbM
UGC 420	9.93	3.52	0	39.7		1	3	31		Galaxy	Psc	15	eF, vS, ibM
NGC 211	9.93	3.43	0	39.7		1	3	26		Galaxy	Psc	15	F, R, *9 sp 8'
UGC 423	9.95	3.28	0	39.8		1	3	17		Galaxy	Psc	14	F, pS, R, vgbM, f of 2
M 110	10.10	41.68	0	40.4		1	41	41		Galaxy	And	8	Size: 17.4  vB, vL, mE 165deg , vgvmbM; 
	10.15	40.73	0	40.6		1	40	44		Cluster Nebulosity	And		vF, vL, mE 0deg
MCG 3-2-35	10.00	-14.30	0	40		-1	14	18			Cet		vF, S, lE, stellar
MCG 0-2-118	10.10	2.73	0	40.4		1	2	44		Galaxy	Psc	15	pF
ESO 540-8	9.78	-18.63	0	39.1		-1	18	38		Galaxy	Cet	14	vF, vS, R, bM
MCG 2-2-81	10.15	-13.87	0	40.6		-1	13	52		Galaxy	Cet	10.9	Size: 5.4  B, pS, R, psbM, r, *11 p 2'
NGC 203	10.25	3.43	0	41		1	3	26		Star	Psc		eF, S, mbMN
ESO 150-18	10.03	-56.17	0	40.1		-1	56	10		Galaxy	Phe		vF, S, R, p of 2
UGC 436	10.30	16.47	0	41.2		1	16	28		Galaxy	Psc	15	F, S, bet 2 S st
UGC 438	10.38	25.50	0	41.5		1	25	30		Galaxy	And	12.2	Size: 2.1  pF, pS, gvlbM, r
ESO 150-19	10.20	-56.22	0	40.8		-1	56	13		Galaxy	Phe		Size: 1.2  F, S, R, am st, f of 2
ESO 540-15	10.35	-21.05	0	41.4		-1	21	3		Galaxy	Cet	13.3	Size: 1.8  eF, vS, lE
MCG 2-2-85	10.38	-10.03	0	41.5		-1	10	2		Galaxy	Cet		Size: 3.3  F, S, lE 90deg , glbM
UGC 440	10.45	36.35	0	41.8		1	36	21		Galaxy	And	15	eF, vS, R, gbM
MCG 0-2-128	10.58	0.90	0	42.3		1	0	54		Galaxy	Cet	15	F, S, R, *11 sp 1'
ESO 29-SC3	10.13	-73.40	0	40.5		-1	73	24		Open Cluster	Tuc	11	F, iR, vgbM, 1st of several
M 32	10.68	40.87	0	42.7		1	40	52		Galaxy	And	8.2	Size: 7.6  ! vvB, L, R, psmbMN; = M32
ESO 29-SC4	10.15	-73.40	0	40.6		-1	73	24		Open Cluster	Tuc	11	vF, R, 2nd of several
IC 44	10.68	0.85	0	42.7		1	0	51		Galaxy	Cet	14	vF, pS, R; = IC 44
M 31	10.68	41.27	0	42.7		1	41	16		Galaxy	And	3.5	Size: 178.  !!! eeB, eL, vmE (Andromeda)
OCL 305	10.85	61.78	0	43.4		1	61	47		Open Cluster	Cas	7	Size: 12.  Cl, L, lC, st 9...10
UGC 459	10.70	32.57	0	42.8		1	32	34		Galaxy	And	14	"eF, S, R, *13 s 20"""
UGC 456	10.65	-1.53	0	42.6		-1	1	32		Galaxy	Cet	13	Size: 2.1  F, pL, lbM
UGC 458	10.70	23.50	0	42.8		1	23	30		Galaxy	And	15	eF, S, R, fainter of 2
MCG 4-2-49	10.75	23.48	0	43		1	23	29		Galaxy	And	14	vF, S, R, smaller of 2
ESO 474-14	10.60	-23.63	0	42.4		-1	23	38		Galaxy	Cet	15	eF, eS, R, bMN
ESO 29-SC5	10.25	-73.37	0	41		-1	73	22		Open Cluster	Tuc	12	i train of st and neb
ESO 474-15	10.68	-23.57	0	42.7		-1	23	34		Galaxy	Cet	14	eF, S, R, bMN
UGC 464	10.85	30.58	0	43.4		1	30	35		Galaxy	And	14	F, vS, R, lbM
